event,language,mse,r2,mae,rmse,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,mlflow_run_id,mlflow_model_uri
fund_data_announcement,en,6.9514868153095275,-0.13093124493482233,1.8431405468879452,2.6365672408094447,30,116,146,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\fund_data_announcement_tfidf_vectorizer_regression.joblib,f90bcc084d05486ab23d8e835888b811,runs:/f90bcc084d05486ab23d8e835888b811/model
dividend_reports_and_estimates,en,1.7407223050715106,-0.22706734226636005,0.9275181466270129,1.3193643564502986,15,56,71,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_tfidf_vectorizer_regression.joblib,94b461fd01cb4701a4a07030e1e065cd,runs:/94b461fd01cb4701a4a07030e1e065cd/model
trade_show,en,10.080253142880025,-0.27182144839849953,2.4564143290043092,3.1749414392835695,9,33,42,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\trade_show_tfidf_vectorizer_regression.joblib,4b652f37c9404a4aa415f6eba7fec6d4,runs:/4b652f37c9404a4aa415f6eba7fec6d4/model
extraordinary_general_meeting,en,8.395655304266368,-0.4253414815474328,1.8466063074971808,2.897525721070715,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\extraordinary_general_meeting_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\extraordinary_general_meeting_tfidf_vectorizer_regression.joblib,e5262e44b1884fca9b53af50da1d8a3b,runs:/e5262e44b1884fca9b53af50da1d8a3b/model
initial_public_offerings,en,8.749130003679088,-0.5271712375107971,1.77643027531722,2.957892831675801,11,42,53,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\initial_public_offerings_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\initial_public_offerings_tfidf_vectorizer_regression.joblib,7533563aff32456c8524163dd7fed684,runs:/7533563aff32456c8524163dd7fed684/model
joint_venture,en,9.74111908895155,-0.7492356352248424,2.1842822462195093,3.121076591330554,4,13,17,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\joint_venture_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\joint_venture_tfidf_vectorizer_regression.joblib,ca012f093ff44e6783d1d8316ac58352,runs:/ca012f093ff44e6783d1d8316ac58352/model
capital_investment,en,8.378311331562177,-0.8018358340892711,2.0114452507206755,2.894531280114654,16,61,77,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\capital_investment_tfidf_vectorizer_regression.joblib,94a71880d4674b2b973675a77e5ab00b,runs:/94a71880d4674b2b973675a77e5ab00b/model
observation_status,en,4.97186974230401,-1.07293378556603,1.9139153366991533,2.2297689885510583,12,45,57,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\observation_status_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\observation_status_tfidf_vectorizer_regression.joblib,87a16598693c4868bb8ca9945b3f8f6f,runs:/87a16598693c4868bb8ca9945b3f8f6f/model
contests_awards,en,0.7545972364438354,-2.4089219549194083,0.6382344898498498,0.8686755645486037,8,31,39,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\contests_awards_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\contests_awards_tfidf_vectorizer_regression.joblib,855212c757f04c9daeb746d53daa3dc8,runs:/855212c757f04c9daeb746d53daa3dc8/model
managers_transactions,en,0.8491081850842708,-14.606309301164869,0.7996627293422983,0.9214706642559332,5,19,24,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\managers_transactions_regression.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\managers_transactions_tfidf_vectorizer_regression.joblib,65174af50142443b925ae20280d3c2be,runs:/65174af50142443b925ae20280d3c2be/model
