event_name,language,mlflow_run_id,mlflow_model_uri,model_filename,vectorizer_filename,accuracy,precision,recall,f1_score,auc_roc
changes_in_companys_own_shares,en,08e4d958a391456686c557188464f8bf,runs:/08e4d958a391456686c557188464f8bf/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,0.6371681415929203,0.7441860465116279,0.5161290322580645,0.6095238095238096,0.7322501581277673
ex_dividend_date,en,f06f520d7f6a40a4b0e99bc917131838,runs:/f06f520d7f6a40a4b0e99bc917131838/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\ex_dividend_date_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\ex_dividend_date_tfidf_vectorizer_binary.joblib,0.6363636363636364,1.0,0.42857142857142855,0.6,0.8571428571428571
interim_information,en,faa41a2de1af4f16bffdac1f910d346a,runs:/faa41a2de1af4f16bffdac1f910d346a/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_tfidf_vectorizer_binary.joblib,0.6363636363636364,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.6948529411764706
licensing_agreements,en,c7722ff32236488bb0acec671d8f692f,runs:/c7722ff32236488bb0acec671d8f692f/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_binary.joblib,0.6363636363636364,0.5,1.0,0.6666666666666666,0.9642857142857143
environmental_social_governance,en,dcade779ba02421b828fdc176fab4b6b,runs:/dcade779ba02421b828fdc176fab4b6b/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_tfidf_vectorizer_binary.joblib,0.631578947368421,0.5625,1.0,0.72,0.75
management_statements,en,02a15726f3e940bdbca168f1764d0c4d,runs:/02a15726f3e940bdbca168f1764d0c4d/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_statements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_statements_tfidf_vectorizer_binary.joblib,0.625,0.0,0.0,0.0,0.7333333333333333
regulatory_filings,en,954f659180ab42ff90e847e0b1f73dda,runs:/954f659180ab42ff90e847e0b1f73dda/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_binary.joblib,0.6212121212121212,0.59375,0.6129032258064516,0.6031746031746031,0.7230414746543777
annual_general_meeting,en,eac86915e2f84bbc8592488ab0703bf1,runs:/eac86915e2f84bbc8592488ab0703bf1/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_binary.joblib,0.6,0.7647058823529411,0.52,0.6190476190476191,0.7573333333333334
earnings_releases_and_operating_results,en,0b316ad606ee4ae2abc086551bcd3a56,runs:/0b316ad606ee4ae2abc086551bcd3a56/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_binary.joblib,0.5896805896805897,0.7702702702702703,0.2753623188405797,0.40569395017793597,0.7105434782608696
financing_agreements,en,491308f0c3cf4763b9c2ec656230d85f,runs:/491308f0c3cf4763b9c2ec656230d85f/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_binary.joblib,0.5857142857142857,0.425531914893617,0.9090909090909091,0.5797101449275363,0.7627840909090909
bankruptcy,en,ffb4160045d64308a499b253fa937c27,runs:/ffb4160045d64308a499b253fa937c27/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bankruptcy_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bankruptcy_tfidf_vectorizer_binary.joblib,0.5714285714285714,0.5,1.0,0.6666666666666666,0.75
share_capital_increase,en,bd1bf6de6b5b4b4cae72c5d55f762c48,runs:/bd1bf6de6b5b4b4cae72c5d55f762c48/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_binary.joblib,0.5625,0.5,1.0,0.6666666666666666,0.5555555555555556
extraordinary_general_meeting,en,c968b158f0a947639bd00572fb643f20,runs:/c968b158f0a947639bd00572fb643f20/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\extraordinary_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\extraordinary_general_meeting_tfidf_vectorizer_binary.joblib,0.5454545454545454,0.6,0.5,0.5454545454545454,0.6
initial_public_offerings,en,9ed82da09ef1440d93b7199a9c1c8fdc,runs:/9ed82da09ef1440d93b7199a9c1c8fdc/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\initial_public_offerings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\initial_public_offerings_tfidf_vectorizer_binary.joblib,0.5454545454545454,0.3333333333333333,0.25,0.2857142857142857,0.6071428571428571
dividend_reports_and_estimates,en,d7b73d244b8d4df7b5f3421946114d8d,runs:/d7b73d244b8d4df7b5f3421946114d8d/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_tfidf_vectorizer_binary.joblib,0.5333333333333333,0.5,0.2857142857142857,0.36363636363636365,0.6607142857142857
joint_venture,en,dfb23cc6fce6469dbaafb3d12ecf94be,runs:/dfb23cc6fce6469dbaafb3d12ecf94be/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\joint_venture_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\joint_venture_tfidf_vectorizer_binary.joblib,0.5,1.0,0.3333333333333333,0.5,1.0
research_analysis_and_reports,en,3f5536ed58ff488ea1b0050caf61d6bc,runs:/3f5536ed58ff488ea1b0050caf61d6bc/model,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\research_analysis_and_reports_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\research_analysis_and_reports_tfidf_vectorizer_binary.joblib,0.5,1.0,0.3333333333333333,0.5,1.0
