event,language,accuracy,precision,recall,f1_score,auc_roc,test_sample,training_sample,total_sample,model_filename,vectorizer_filename,up_accuracy,down_accuracy,total_up,total_down,correct_up,correct_down,up_predictions_pct,down_predictions_pct,mlflow_run_id,mlflow_model_uri
prospectus_announcement,en,0.6521739130434783,1.0,0.42857142857142855,0.6,0.9206349206349207,23,89,112,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\prospectus_announcement_tfidf_vectorizer_binary.joblib,42.857142857142854,100.0,14,9,6,9,26.08695652173913,73.91304347826086,57eeb6c28cbb428a9bf7b6a4b13ab93b,runs:/57eeb6c28cbb428a9bf7b6a4b13ab93b/model
financial_calendar,en,0.64,0.9375,0.46875,0.625,0.8342013888888887,50,196,246,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_calendar_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financial_calendar_tfidf_vectorizer_binary.joblib,46.875,94.44444444444444,32,18,15,17,32.0,68.0,89958ee7a32444c19e9c509264db8c42,runs:/89958ee7a32444c19e9c509264db8c42/model
changes_in_companys_own_shares,en,0.6371681415929203,0.7441860465116279,0.5161290322580645,0.6095238095238096,0.7322501581277673,226,900,1126,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\changes_in_companys_own_shares_tfidf_vectorizer_binary.joblib,51.61290322580645,78.43137254901961,124,102,64,80,38.05309734513274,61.94690265486725,08e4d958a391456686c557188464f8bf,runs:/08e4d958a391456686c557188464f8bf/model
ex_dividend_date,en,0.6363636363636364,1.0,0.42857142857142855,0.6,0.8571428571428571,11,42,53,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\ex_dividend_date_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\ex_dividend_date_tfidf_vectorizer_binary.joblib,42.857142857142854,100.0,7,4,3,4,27.27272727272727,72.72727272727273,f06f520d7f6a40a4b0e99bc917131838,runs:/f06f520d7f6a40a4b0e99bc917131838/model
interim_information,en,0.6363636363636364,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.6948529411764706,33,128,161,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\interim_information_tfidf_vectorizer_binary.joblib,41.17647058823529,87.5,17,16,7,14,27.27272727272727,72.72727272727273,faa41a2de1af4f16bffdac1f910d346a,runs:/faa41a2de1af4f16bffdac1f910d346a/model
licensing_agreements,en,0.6363636363636364,0.5,1.0,0.6666666666666666,0.9642857142857143,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\licensing_agreements_tfidf_vectorizer_binary.joblib,100.0,42.857142857142854,4,7,4,3,72.72727272727273,27.27272727272727,c7722ff32236488bb0acec671d8f692f,runs:/c7722ff32236488bb0acec671d8f692f/model
environmental_social_governance,en,0.631578947368421,0.5625,1.0,0.72,0.75,19,75,94,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\environmental_social_governance_tfidf_vectorizer_binary.joblib,100.0,30.0,9,10,9,3,84.21052631578947,15.789473684210526,dcade779ba02421b828fdc176fab4b6b,runs:/dcade779ba02421b828fdc176fab4b6b/model
management_statements,en,0.625,0.0,0.0,0.0,0.7333333333333333,8,29,37,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_statements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\management_statements_tfidf_vectorizer_binary.joblib,0.0,100.0,3,5,0,5,0.0,100.0,02a15726f3e940bdbca168f1764d0c4d,runs:/02a15726f3e940bdbca168f1764d0c4d/model
regulatory_filings,en,0.6212121212121212,0.59375,0.6129032258064516,0.6031746031746031,0.7230414746543777,66,261,327,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\regulatory_filings_tfidf_vectorizer_binary.joblib,61.29032258064516,62.857142857142854,31,35,19,22,48.484848484848484,51.515151515151516,954f659180ab42ff90e847e0b1f73dda,runs:/954f659180ab42ff90e847e0b1f73dda/model
annual_general_meeting,en,0.6,0.7647058823529411,0.52,0.6190476190476191,0.7573333333333334,40,159,199,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\annual_general_meeting_tfidf_vectorizer_binary.joblib,52.0,73.33333333333333,25,15,13,11,42.5,57.49999999999999,eac86915e2f84bbc8592488ab0703bf1,runs:/eac86915e2f84bbc8592488ab0703bf1/model
earnings_releases_and_operating_results,en,0.5896805896805897,0.7702702702702703,0.2753623188405797,0.40569395017793597,0.7105434782608696,407,1627,2034,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\earnings_releases_and_operating_results_tfidf_vectorizer_binary.joblib,27.536231884057973,91.5,207,200,57,183,18.181818181818183,81.81818181818183,0b316ad606ee4ae2abc086551bcd3a56,runs:/0b316ad606ee4ae2abc086551bcd3a56/model
financing_agreements,en,0.5857142857142857,0.425531914893617,0.9090909090909091,0.5797101449275363,0.7627840909090909,70,276,346,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\financing_agreements_tfidf_vectorizer_binary.joblib,90.9090909090909,43.75,22,48,20,21,67.14285714285714,32.857142857142854,491308f0c3cf4763b9c2ec656230d85f,runs:/491308f0c3cf4763b9c2ec656230d85f/model
bankruptcy,en,0.5714285714285714,0.5,1.0,0.6666666666666666,0.75,7,25,32,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bankruptcy_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\bankruptcy_tfidf_vectorizer_binary.joblib,100.0,25.0,3,4,3,1,85.71428571428571,14.285714285714285,ffb4160045d64308a499b253fa937c27,runs:/ffb4160045d64308a499b253fa937c27/model
share_capital_increase,en,0.5625,0.5,1.0,0.6666666666666666,0.5555555555555556,16,64,80,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\share_capital_increase_tfidf_vectorizer_binary.joblib,100.0,22.22222222222222,7,9,7,2,87.5,12.5,bd1bf6de6b5b4b4cae72c5d55f762c48,runs:/bd1bf6de6b5b4b4cae72c5d55f762c48/model
extraordinary_general_meeting,en,0.5454545454545454,0.6,0.5,0.5454545454545454,0.6,11,40,51,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\extraordinary_general_meeting_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\extraordinary_general_meeting_tfidf_vectorizer_binary.joblib,50.0,60.0,6,5,3,3,45.45454545454545,54.54545454545454,c968b158f0a947639bd00572fb643f20,runs:/c968b158f0a947639bd00572fb643f20/model
initial_public_offerings,en,0.5454545454545454,0.3333333333333333,0.25,0.2857142857142857,0.6071428571428571,11,42,53,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\initial_public_offerings_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\initial_public_offerings_tfidf_vectorizer_binary.joblib,25.0,71.42857142857143,4,7,1,5,27.27272727272727,72.72727272727273,9ed82da09ef1440d93b7199a9c1c8fdc,runs:/9ed82da09ef1440d93b7199a9c1c8fdc/model
dividend_reports_and_estimates,en,0.5333333333333333,0.5,0.2857142857142857,0.36363636363636365,0.6607142857142857,15,56,71,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\dividend_reports_and_estimates_tfidf_vectorizer_binary.joblib,28.57142857142857,75.0,7,8,2,6,26.666666666666668,73.33333333333333,d7b73d244b8d4df7b5f3421946114d8d,runs:/d7b73d244b8d4df7b5f3421946114d8d/model
joint_venture,en,0.5,1.0,0.3333333333333333,0.5,1.0,4,13,17,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\joint_venture_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\joint_venture_tfidf_vectorizer_binary.joblib,33.33333333333333,100.0,3,1,1,1,25.0,75.0,dfb23cc6fce6469dbaafb3d12ecf94be,runs:/dfb23cc6fce6469dbaafb3d12ecf94be/model
research_analysis_and_reports,en,0.5,1.0,0.3333333333333333,0.5,1.0,4,14,18,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\research_analysis_and_reports_classifier_binary.joblib,C:\Users\HP\Desktop\Upwork_project\finespresso-modelling\models\research_analysis_and_reports_tfidf_vectorizer_binary.joblib,33.33333333333333,100.0,3,1,1,1,25.0,75.0,3f5536ed58ff488ea1b0050caf61d6bc,runs:/3f5536ed58ff488ea1b0050caf61d6bc/model
